id_depto,depto
06000,*Sin Dato*
06035,Avellaneda
06091,Berazategui
06270,Ezeiza
06274,Florencio Varela
06371,General San Martín
06410,Ituzaingó
06427,La Matanza
06434,Lanús
06490,Lomas De Zamora
06539,Merlo
06568,Morón
06658,Quilmes
06760,San Miguel
06840,Tres De Febrero
06861,Vicente López
02000,*Sin Dato*
02001,Comuna 1
02010,Comuna 10
02012,Comuna 12
02015,Comuna 15
02002,Comuna 2
02003,Comuna 3
02004,Comuna 4
02005,Comuna 5
02006,Comuna 6
02007,Comuna 7
02008,Comuna 8
02009,Comuna 9
22039,2 De Abril
22105,9 De Julio
22014,Bermejo
22028,Chacabuco
22021,Comandante Fernández
22043,Fray Justo Santa María De Oro
22049,General Belgrano
22063,General Güemes
22070,Independencia
22084,Libertador General San Martín
22098,Mayor Luis J. Fontana
22112,O'Higgins
22140,San Fernando
14014,Capital
14021,Colón
14161,Tercero Arriba
18000,*Sin Dato*
18021,Capital
18126,Saladas
18168,Santo Tomé
30015,Concordia
31084,Paraná
32084,Paraná
33084,Paraná
34014,Formosa
34028,Matacos
34035,Patiño
54028,Capital
54063,Iguazú
54077,Libertador Grl. San Martín
54084,Montecarlo
54098,San Ignacio
66056,Grl. José De San Martín
66105,Los Andes
82077,9 De Julio
82049,General Obligado
82084,Rosario
86035,Banda
86049,Capital
86147,Río Hondo
90021,Chicligasta
90105,Tafí Viejo
66028,Capital
66126,Orán
06441,La Plata
50028,Guaymallén
02014,Comuna 14
06028,Almirante Brown
06231,
06252,Escobar
06260,Esteban Echeverría
06364,General San Martin
06412,José C. Paz
06588,9 De Julio
06658,Quimes
06665,Ramallo
06805,Tigre
18133,San Cosme
18154,San Miguel
22036,12 De Octubre
30084,Paraná
46063,General Belgrano
54035,Concepción
58028,Colon
66049,General Güemes
74028,Chacabuco
82021,Castellanos
82119,San Lorenzo
86063,Ciudad De Buenos Aires
90084,Capital
90119,Yerba Buena
00427,La Matanza
00028,Capital
00056,Grl. José De San Martín
00126,Orán
02001,Comuna 5
02001,Comuna 14
02001,Comuna 9
02001,Comuna 3
02001,Comuna 10
02001,Comuna 15
06266,Exaltacion De La Cruz
06357,General Pueyrredon
06410,Ituzaingo
06412,Jose C. Paz
06515,Malvinas Argentinas
06532,Mercedes
06568,Moron
06623,Pergamino
06791,Tandil
06882,Zarate
14021,Colon
22021,Comandante Fernandez
22063,General Guemes
22084,Libertador General San Martin
22154,Sargento Cabral
34007,Bermejo
34056,Pirane
38007,Cochinoca
38035,Ledesma
38042,Palpala
38056,San Antonio
38070,Santa Barbara
38105,Valle Grande
54007,Apostoles
18084,Capital
54042,Eldorado
54049,General Manuel Belgrano
54056,Guarani
02001,Iguazu
54063,Iguazu
54077,Libertador Grl. San Martin
54091,Obera
66007,Anta
66035,Cerrillos
66049,General Guemes
14091,Grl. Jose De San Martin
66056,Grl. Jose De San Martin
66070,Iruya
66077,La Caldera
66112,Metan
66126,Oran
66133,Rivadavia
66147,Rosario De Lerma
66161,Santa Victoria
50119,Tunuyan
(en blanco),
82014,Caseros
82035,Garay
82063,La Capital
82070,Las Colonias
82091,San Cristobal
82105,San Jeronimo
86161,Robles
90105,Tafi Viejo
00000,
00020,
34340,
66660,
02001,
02007,
02011,Comuna 11
02013,Comuna 13
06035,
06049,Azul
06056,Bahía Blanca
06091,
06098,Berisso
06112,Bragado
06119,Brandsen
06126,Campana
06134,Cañuelas
06161,Carmen De Areco
06175,Colón
06203,Coronel Suárez
06210,Chacabuco
06224,Chivilcoy
06238,Dolores
06245,Ensenada
06266,Exaltación De La Cruz
06301,General Belgrano
06357,General Pueyrredón
06364,General Rodríguez
06371,
06371,#¡Valor!
06385,General Viamonte
06408,Hurlingham
06413,Junín
06420,La Costa
06469,Lincoln
06483,Lobos
06497,Luján
06518,Mar Chiquita
06525,Marcos Paz
06560,Moreno
06581,Necochea
06595,Olavarría
06630,Pila
06638,Pilar
06644,Pinamar 
06648,Presidente Perón
06655,Punta Indio
06672,Rauch
06679,Rivadavia
06707,Saladillo
06728,San Andrés De Giles
06735,San Antonio De Areco
06749,San Fernando
06756,San Isidro
06763,San Nicolás
06778,San Vicente
06784,Suipacha
06826,Trenque Lauquen
06847,Tres Lomas 
06861,
06861,Presidente Perón
10007,Ambato
10021,Andalgalá
10035,Belén
10042,Capayán
10049,Capital
10056,El Alto
10063,Fray Mamerto Esquiú
10070,La Paz
10077,Paclín
10084,Pomán
10091,Santa María
10098,Santa Rosa
10105,Tinogasta
10112,Valle Viejo
14007,Calamuchita
14028,Cruz Del Eje
14035,General Roca
14042,General San Martín
14049,Ischilín
14056,Juárez Celman
14063,Marcos Juárez
14070,Minas
14077,Pocho
14084,Presidente Roque Sáenz Peña
14091,Punilla
14098,Río Cuarto
14105,Río Primero
14119,Río Segundo
14126,San Alberto
14133,San Javier
14140,San Justo
14147,Santa María
14175,Tulumba
14182,Unión
18007,Bella Vista
18014,Berón De Astrada
18028,Concepción
18035,Curuzú Cuatiá
18042,Empedrado
18049,Esquina
18056,General Alvear
18063,General Paz
18070,Goya
18077,Itatí
18084,Ituzaingó
18105,Mercedes
18112,Monte Caseros
18119,Paso De Los Libres
18140,San Luis Del Palmar
18161,San Roque
