edad_id,edad_desc
10,De 45 a 64 años
8,De 20 a 24 años
6,De 10 a 14 años
9,De 25 a 34 años
10,De 35 a 44 años
11,Mayor o igual de 65 años
5,De 5 a 9 años
4,De 2 a 4 años
7,De 15 a 19 años
2,Igual a 1 año
1,Menor que 1 año
12,Sin Especificar
3,De 13 a 24 meses
6,de 10 a 14 anos
7,de 15 a 24 anos
9,de 25 a 34 anos
11,de 45 a 65 anos
10,de 35 a 44 anos
11,de 45 a 64 anos
8,de 20 a 24 anos
5,de 5 a 9 anos
7,de 15 a 19 anos
2,igual a 1 ano
12,mayor de  65 anos
1,menor que 1 ano
12,mayores de 65 anos
4,de 2 a 4 anos
1,posneonato (29 hasta 365 días)
3,de 13 a 24 meses
1,sin especificar
11,Mayor o igual de 65 anos
10,De 45 a 64 anos
10,De 35 a 44 anos
9,De 25 a 34 anos
8,De 20 a 24 anos
2,Igual a 1 ano
1,Menor que 1 ano
4,De 2 a 4 anos
5,De 5 a 9 anos
7,De 15 a 19 anos
6,De 10 a 14 anos
6.0,De 15 a 19 anos
8.0,De 25 a 34 anos
10.0,De 45 a 65 anos
9.0,De 35 a 44 anos
7.0,De 20 a 24 anos
11.0,Mayores de 65 anos
5.0,De 10 a 14 anos
4.0,De 5 a 9 anos
3.0,De 2 a 4 anos
,Sin Especificar
1.0,Posneonato (29 hasta 365 dias)
2.0,De 13 a 24 meses
De 25 a 34 anos,8
De 10 a 14 anos,5
De 35 a 44 anos,9
De 45 a 65 anos,10
De 20 a 24 anos,8
De 5 a 9 anos,4
De 2 a 4 anos,3
De 15 a 19 anos,6
De 20 a 24 anos,7
Mayores de 65 anos,11
Sin Especificar,-
Posneonato (de 29 a 365 días),1
De 13 a 24 meses,2
Neonato (hasta 28 dias),0
De 45 a 64 anos,10
De 15 a 19 anos,7
Posneonato (de 29 a 365 dias),1
Edad Sin Esp.,-
7,De 15 a 19 anos
4,De 2 a 4 anos
9,De 25 a 34 anos
9,De 35 a 44 anos
10,De 45 a 65 anos
5,De 5 a 9 anos
1,Neonato (hasta 28 dias)
11,Mayores de 65 anos
6,De 10 a 14 anos
8,De 20 a 24 anos
3,De 13 a 24 meses
2,Posneonato (29 hasta 365 dias)
10,De 45 a 64 anos
-,Edad Sin Esp.
11,De 45 a 65 años
12,Mayores de 65 años
2,Posneonato (29 hasta 365 dias)
2,Posneonato (29 hasta 365 dÍas)
1,Neonato (hasta 28 dÍas)
13,Sin Especificar
