Estacion,depto,prov
87641,Azul ,Buenos Aires
87750,Bahia Blanca ,Buenos Aires
87649,Benito Juarez ,Buenos Aires
87640,Bolivar ,Buenos Aires
87570,Campo De Mayo ,Buenos Aires
87683,Coronel Pringles ,Buenos Aires
87637,Coronel Suarez ,Buenos Aires
87648,Dolores ,Buenos Aires
87571,El Palomar ,Buenos Aires
87576,Ezeiza ,Buenos Aires
87548,Junin ,Buenos Aires
87593,La Plata ,Buenos Aires
87563,Las Flores ,Buenos Aires
87692,Mar Del Plata ,Buenos Aires
87572,Mariano Moreno ,Buenos Aires
87573,Merlo ,Buenos Aires
87574,Moron ,Buenos Aires
87550,Nueve De Julio,Buenos Aires
87643,Olavarria ,Buenos Aires
87544,Pehuajo ,Buenos Aires
87679,Pigue ,Buenos Aires
87596,Punta Indio B.A.,Buenos Aires
87553,San Fernando,Buenos Aires
87658,Santa Teresita ,Buenos Aires
87645,Tandil ,Buenos Aires
87540,Trenque Lauquen,Buenos Aires
87688,Tres Arroyos,Buenos Aires
87663,Villa Gesell ,Buenos Aires
87582,Parque ,Capital Federal
87585,Buenos Aires,Capital Federal
87222,Catamarca ,Catamarca
87211,Tinogasta,Catamarca
87148,Pcia. Roque Saenz PeﾑA ,Chaco
87155,Resistencia ,Chaco
87860,Comodoro Rivadavia ,Chubut
87803,Esquel ,Chubut
87814,Paso De Indios,Chubut
87823,Puerto Madryn ,Chubut
87828,Trelew ,Chubut
87344,Cordoba ,Cordoba
87345,Cordoba Observatorio,Cordoba
87347,Esc.Aviacion Militar ,Cordoba
87534,Laboulaye ,Cordoba
87467,Marcos Juarez ,Cordoba
87349,Pilar Obs.,Cordoba
87453,Rio Cuarto ,Cordoba
87328,Villa Dolores ,Cordoba
87244,Villa Maria Del Rio Seco,Cordoba
87166,Corrientes ,Corrientes
87173,Ituzaingo,Corrientes
87281,Mercedes  (Ctes),Corrientes
87393,Monte Caseros ,Corrientes
87289,Paso De Los Libres ,Corrientes
87395,Concordia ,Entre Rios
87497,Gualeguaychu ,Entre Rios
87374,Parana ,Entre Rios
87162,Formosa ,Formosa
87078,Las Lomitas,Formosa
87046,Jujuy ,Jujuy
87043,Jujuy U N,Jujuy
87007,La Quiaca Obs.,Jujuy
87532,General Pico ,La Pampa
87623,Santa Rosa ,La Pampa
87616,Victorica,La Pampa
87320,Chamical ,La Rioja
87322,Chepes,La Rioja
87213,Chilecito ,La Rioja
87217,La Rioja ,La Rioja
87506,Malargue ,Mendoza
87418,Mendoza ,Mendoza
87420,Mendoza Observatorio,Mendoza
87412,San Carlos (Mza),Mendoza
87416,San Martin (Mza),Mendoza
87509,San Rafael ,Mendoza
87405,Uspallata,Mendoza
87163,Bernardo De Irigoyen ,Misiones
87097,Iguazu ,Misiones
87187,Obera ,Misiones
87178,Posadas ,Misiones
87761,Chapelco ,Neuquen
87715,Neuquen ,Neuquen
87765,Bariloche ,Rio Negro
87719,Cipolletti,Rio Negro
87800,El Bolson ,Rio Negro
87774,Maquinchao,Rio Negro
87736,Rio Colorado,Rio Negro
87784,San Antonio Oeste ,Rio Negro
87791,Viedma ,Rio Negro
87050,Metan,Salta
87016,Oran ,Salta
87065,Rivadavia,Salta
87047,Salta ,Salta
87022,Tartagal ,Salta
87305,Jachal,San Juan
87311,San Juan ,San Juan
87436,San Luis ,San Luis
87444,Santa Rosa De Conlara ,San Luis
87448,Villa Reynolds ,San Luis
87904,El Calafate ,Santa Cruz
87880,Gobernador Gregores ,Santa Cruz
87852,Perito Moreno ,Santa Cruz
87896,Puerto Deseado ,Santa Cruz
87925,Rio Gallegos ,Santa Cruz
87909,San Julian ,Santa Cruz
87912,Santa Cruz ,Santa Cruz
87257,Ceres ,Santa Fe
87470,El Trebol,Santa Fe
87360,Rafaela ,Santa Fe
87270,Reconquista ,Santa Fe
87480,Rosario ,Santa Fe
87371,Sauce Viejo ,Santa Fe
87356,Sunchales ,Santa Fe
87468,Venado Tuerto,Santa Fe
87129,Santiago Del Estero ,Santiago Del Estero
87127,Termas De Rio Hondo ,Santiago Del Estero
87934,Rio Grande B.A.,Tierra Del Fuego
87938,Ushuaia ,Tierra Del Fuego
87121,Tucuman ,Tucuman
