id_depto,depto,prov_id,prov,año,evento,edad_id,edad_desc,semanas,cantidad
056,Pirané,34,Formosa,2024,Dengue,8,De 20 a 24 años,13,6
515,Malvinas Argentinas,06,Buenos Aires,2024,Dengue,5,De 5 a 9 años,12,23
042,Chimbas,70,San Juan,2024,Dengue,10,De 35 a 44 años,13,4
014,Formosa,34,Formosa,2024,Dengue,4,De 2 a 4 años,1,14
091,Berazategui,06,Buenos Aires,2024,Dengue,5,De 5 a 9 años,8,6
001,COMUNA 1,02,CABA,2024,Dengue,9,De 25 a 34 años,8,111
749,San Fernando,06,Buenos Aires,2024,Dengue,12,Mayores de 65 años,10,6
408,Hurlingham,06,Buenos Aires,2024,Dengue,10,De 35 a 44 años,14,30
042,Eldorado,54,Misiones,2024,Dengue,11,De 45 a 65 años,13,10
560,Moreno,06,Buenos Aires,2024,Dengue,6,De 10 a 14 años,10,63
049,Las Heras,50,Mendoza,2024,Dengue,8,De 20 a 24 años,14,24
427,La Matanza,06,Buenos Aires,2024,Dengue,10,De 35 a 44 años,6,27
490,Lomas de Zamora,06,Buenos Aires,2024,Dengue,4,De 2 a 4 años,9,4
007,Calamuchita,14,Córdoba,2024,Dengue,10,De 35 a 44 años,15,11
760,San Miguel,06,Buenos Aires,2024,Dengue,5,De 5 a 9 años,13,49
063,Iguazú,54,Misiones,2024,Dengue,8,De 20 a 24 años,7,4
084,Libertador General San Martín,22,Chaco,2024,Dengue,9,De 25 a 34 años,10,3
049,La Cocha,90,Tucumán,2024,Dengue,11,De 45 a 65 años,13,13
042,Empedrado,18,Corrientes,2024,Dengue,12,Mayores de 65 años,12,1
021,Calingasta,70,San Juan,2024,Dengue,9,De 25 a 34 años,10,2
021,Colón,14,Córdoba,2024,Dengue,5,De 5 a 9 años,16,15
007,COMUNA 7,02,CABA,2024,Dengue,5,De 5 a 9 años,17,2
133,San Javier,14,Córdoba,2024,Dengue,9,De 25 a 34 años,11,7
021,Andalgalá,10,Catamarca,2024,Dengue,8,De 20 a 24 años,15,4
182,Coronel de Marina L. Rosales,06,Buenos Aires,2024,Dengue,9,De 25 a 34 años,6,3
408,Hurlingham,06,Buenos Aires,2024,Dengue,9,De 25 a 34 años,5,4
063,La Capital,82,Santa Fe,2024,Dengue,2,Posneonato (29 hasta 365 dÍas),15,3
